title,app_id
EA SPORTS FC™ 25,2669320
Dota 2,570
War Thunder,236390
Tiny Glade,2198150
Crusader Kings III,1158310
TCG Card Shop Simulator,3070070
Satisfactory,526870
Liar's Bar,3097560
Crusader Kings III: Roads to Power,2671070
Squad,393380
Rust,252490
Frostpunk 2,1601580
PUBG: BATTLEGROUNDS,578080
Once Human,2139460
Football Manager 25,2217490
Call of Duty®: Black Ops III,311210
Farming Simulator 25,2300320
DUCKSIDE,2682580
Sons Of The Forest,1326470
Euro Truck Simulator 2,227300
Recycling Center Simulator,2928520
Microsoft Flight Simulator 2024,2537590
NBA 2K25,2878980
Manor Lords,1363080
Hearts of Iron IV,394360
Victoria 3,529340
BeamNG.drive,284160
Slackers - Carts of Glory,2354000
"Ranch Simulator: Build, Hunt, Farm",1119730
Crusader Kings III: Legends of the Dead,2671060
Mechabellum,669330
Europa Universalis IV,236850
Chained Together,2567870
theHunter: Call of the Wild™,518790
Assetto Corsa,244210
Northgard,466560
The Sims™ 4,1222670
Planet Zoo,703080
Stellaris,281990
MONOPOLY Poker,1474700
Stardew Valley,413150
Forza Horizon 5,1551360
iRacing,266410
Lightyear Frontier,1677110
Against the Storm,1336490
CarX Street,1114150
Supermarket Simulator,2670630
Yu-Gi-Oh! Master Duel,1449850
Hell Let Loose,686810
Assetto Corsa Competizione,805550
Raft,648800
Graviteam Tactics: Mius-Front,312980
Golf With Your Friends,431240
Tabletop Simulator,286160
SnowRunner,1465360
Farming Simulator 22,1248130
My Summer Car,516750
Core Keeper,1621690
Disney Dreamlight Valley,1401590
Project Zomboid,108600
Crime Scene Cleaner,1040200
Arma Reforger,1874880
OCTOPATH TRAVELER™,921570
Abiotic Factor,427410
Balatro,2379780
Gas Station Simulator,1149620
DREDGE,1562430
ACE COMBAT™ 7: SKIES UNKNOWN,502500
VRChat,438100
Euro Truck Simulator 2 - Scandinavia,304212
Necesse,1169040
PGA TOUR 2K23,1588010
Ale & Tale Tavern,2683150
Fishing Planet,380600
TRIANGLE STRATEGY,1850510
Zoochosis,2458560
Xenonauts 2,538030
The Forest,242760
Atelier Ryza: Ever Darkness & the Secret Hideout,1121560
Police Simulator: Patrol Officers,997010
MX Bikes,655500
7 Days to Die,251570
Crusader Kings III: Wandering Nobles,2671080
Contraband Police,756800
Outer Wilds,753640
Against the Storm - Keepers of the Stone,3075500
Home Safety Hotline,2357910
Rain World,312520
Black Desert,582660
DiRT Rally 2.0,690790
Governor of Poker 3,436150
City Car Driving,493490
BOOK OF HOURS,1028310
Turmoil,361280
"Little Kitty, Big City",1177980
Norland,1857090
Quasimorph,2059170
theHunter: Call of the Wild™ - Sundarpatan Nepal Hunting Reserve,2869680
World of Warships,552990
